"city","latitude","stAddress1","stationName","landMark","lastCommunicationTime","id","availableDocks","totalDocks","altitude","stAddress2","longitude","statusValue","testStation","location","postalCode","statusKey","availableBikes"
"",40.694528,"Franklin Ave & Myrtle Ave","Franklin Ave & Myrtle Ave","","2015-12-11 11:54:42 AM",372,25,27,"","",-73.958089,"In Service",False,"","",1,2
"",40.69331716,"Willoughby Ave & Walworth St","Willoughby Ave & Walworth St","","2015-12-11 11:53:40 AM",373,15,19,"","",-73.95381995,"In Service",False,"","",1,4
"",40.72679454,"Mercer St & Bleecker St","Mercer St & Bleecker St","","2015-12-11 11:54:23 AM",375,18,30,"","",-73.99695094,"In Service",False,"","",1,12
"",40.70862144,"John St & William St","John St & William St","","2015-12-11 11:51:19 AM",376,7,43,"","",-74.00722156,"In Service",False,"","",1,35
"",40.72243797,"6 Ave & Canal St","6 Ave & Canal St","","2015-12-11 11:54:35 AM",377,4,47,"","",-74.00566443,"In Service",False,"","",1,42
"",40.749156,"W 31 St & 7 Ave","W 31 St & 7 Ave","","2015-12-11 11:53:36 AM",379,38,42,"","",-73.9916,"In Service",False,"","",1,2
"",40.73401143,"W 4 St & 7 Ave S","W 4 St & 7 Ave S","","2015-12-11 11:53:11 AM",380,36,39,"","",-74.00293877,"In Service",False,"","",1,2
"",40.73492695,"University Pl & E 14 St","University Pl & E 14 St","","2015-12-11 11:54:15 AM",382,3,36,"","",-73.99200509,"In Service",False,"","",1,33
"",40.735238,"Greenwich Ave & Charles St","Greenwich Ave & Charles St","","2015-12-11 11:54:18 AM",383,27,39,"","",-74.000271,"In Service",False,"","",1,11
"",40.683048,"Fulton St & Washington Ave","Fulton St & Washington Ave","","2015-12-11 11:53:51 AM",384,30,31,"","",-73.964915,"In Service",False,"","",1,1
"",40.75797322,"E 55 St & 2 Ave","E 55 St & 2 Ave","","2015-12-11 11:53:38 AM",385,19,29,"","",-73.96603308,"In Service",False,"","",1,8
"",40.71494807,"Centre St & Worth St","Centre St & Worth St","","2015-12-11 11:53:43 AM",386,4,43,"","",-74.00234482,"In Service",False,"","",1,36
